,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
0,DnS,66,2625,11,P,1,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
1,Clem,46,5825,65,T,0,replays/1stRun\001bf0a2e6624544b051e1ebf649b480.SC2Replay
2,iGiA,45,1400,16,Z,1,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
3,iGXiGua,34,2125,50,Z,0,replays/1stRun\003c1f2e362242c698c21063bfcc4d6f.SC2Replay
4,State,27,550,3,P,0,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
5,PiLiPiLi,23,600,4,P,1,replays/1stRun\00b612edc78c4a818fa4405db3bfe3fd.SC2Replay
6,Optimus,66,8000,88,T,1,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
7,LiquidTLO,74,12300,181,Z,0,replays/1stRun\00c26072d8ec4c699dab9154900aa769.SC2Replay
8,Sen,37,1450,24,Z,1,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
9,Rose,35,950,13,Z,0,replays/1stRun\00d09303c8c54d52980881fdac912b8f.SC2Replay
10,Zest,64,2525,9,P,1,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
11,Stephano,64,5375,43,Z,0,replays/1stRun\00f9958cffb34e24a277e76ee34c211f.SC2Replay
12,MaNa,28,1075,6,P,1,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
13,Caliber,23,1250,7,P,0,replays/1stRun\00fdc8fa93474b1196b9a36188f21bc8.SC2Replay
14,Zanster,67,5000,70,Z,1,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
15,Drunkenboi,54,2950,35,T,0,replays/1stRun\01a72a97f1d84e9db6462f70119e5804.SC2Replay
16,PiLiPiLi,23,1100,5,P,0,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
17,Zest,28,1250,7,P,1,replays/1stRun\01ade5c6c13d4659b1957558c045d3bf.SC2Replay
18,GogojOey,36,2100,21,Z,0,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
19,INnoVation,35,1750,16,T,1,replays/1stRun\01e941712e92471399312890e265881a.SC2Replay
20,Snute,82,2400,33,Z,1,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
21,Harstem,67,1425,6,P,0,replays/1stRun\01f46a6dc31c49a782e52e13fc9d2b6b.SC2Replay
22,Patience,26,700,4,P,0,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
23,LiquidMaNa,25,350,2,P,1,replays/1stRun\01feb8bef10842d2858a1551df038074.SC2Replay
24,Drunkenboi,52,6625,66,T,0,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
25,puCK,59,3400,10,P,1,replays/1stRun\02bfc63bdd8b4235b4caed6f26d7123a.SC2Replay
26,TRUE,40,3750,93,Z,0,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
27,PiLiPiLi,62,4500,18,P,1,replays/1stRun\02d0e6589f2a407b9bbc7d667fcd9416.SC2Replay
28,Nerchio,25,825,21,Z,1,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
29,Zanster,15,1050,28,Z,0,replays/1stRun\02d82d7cd181492b82a85db9ce2e79ec.SC2Replay
30,Neeb,73,2175,9,P,1,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
31,TLO,65,7575,95,Z,0,replays/1stRun\02e7514926a94550a52d4a2417650a43.SC2Replay
32,Silky,24,750,11,Z,0,replays/1stRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
33,Jig,16,1000,21,Z,1,replays/1stRun\02ef018e69a843adb5d191fb569cbff6.SC2Replay
34,Reynor,76,4200,98,Z,0,replays/1stRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
35,uThermaL,65,3625,41,T,1,replays/1stRun\03c51e598f184660a41ce9ac42ee42c2.SC2Replay
36,PiLiPiLi,42,950,5,P,1,replays/1stRun\03cb436d01594b9291be19f1a525b179.SC2Replay
37,State,37,1050,5,P,0,replays/1stRun\03cb436d01594b9291be19f1a525b179.SC2Replay
38,PartinG,24,1100,6,P,1,replays/1stRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
39,Patience,23,875,5,P,0,replays/1stRun\03d3f9214df84013bb8082b2eb28a378.SC2Replay
40,CalebAracous,56,6950,60,Z,1,replays/1stRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
41,DisK,64,1800,6,P,0,replays/1stRun\03e38df400b84355ba74441c92a9f0f0.SC2Replay
42,Pure,47,725,5,P,0,replays/1stRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
43,Cuddlebear,42,975,15,T,1,replays/1stRun\03eb1855da0e46a7bd83eefc4e12d98c.SC2Replay
44,TIME,31,550,6,T,0,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
45,Reynor,35,1375,20,Z,1,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay
46,LiquidSnute,59,19150,115,Z,1,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
47,aLive,63,14450,85,T,0,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay
48,Snute,74,5475,45,Z,1,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
49,Cuddlebear,73,2500,16,T,0,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay
50,SpeCial,67,7625,82,T,1,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
51,Neeb,73,5150,18,P,0,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay
52,Elazer,51,4950,46,Z,0,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
53,soO,54,4050,33,Z,1,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay
54,RAIL,48,1000,5,P,0,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay
55,SortOf,59,2700,39,Z,1,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay
56,RiSky,80,11250,182,Z,0,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
57,InZaNe,73,6925,77,T,1,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
58,NeXa,23,1025,6,P,0,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
59,Buster,43,1525,19,T,1,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
60,SortOf,27,1500,20,Z,0,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
61,TIME,28,1450,9,T,1,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
62,Optimus,47,3700,40,T,0,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
63,Bunny,57,1875,10,T,1,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
64,iGiA,50,9500,90,Z,0,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
65,iGXiGua,66,11350,84,Z,1,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
66,HaPe,25,550,4,P,1,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
67,WhiteWolf,22,400,7,T,0,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
68,PandaBearMe,25,1575,33,Z,1,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
69,Livibee,32,1175,20,Z,0,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
70,PtitDrogo,52,2050,8,P,1,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
71,Zanster,54,5600,56,Z,0,replays/1stRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
72,Semper,70,2800,37,T,1,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
73,GAMETIME,68,4375,75,Z,0,replays/1stRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
74,MaNa,68,1050,5,P,1,replays/1stRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay
75,Semper,53,2550,29,T,0,replays/1stRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay
76,Happy,50,5500,58,T,1,replays/1stRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay
77,LiquidSnute,59,5650,77,Z,0,replays/1stRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay
78,Serral,64,2375,41,Z,1,replays/1stRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay
79,PiLiPiLi,60,875,4,P,0,replays/1stRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay
80,LiquidMaNa,26,800,5,P,1,replays/1stRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay
81,PiLiPiLi,22,600,4,P,0,replays/1stRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay
82,Bunny,49,6250,68,T,0,replays/1stRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay
83,OGZest,67,2075,9,P,1,replays/1stRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay
84,Reynor,63,4175,74,Z,1,replays/1stRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay
85,TIME,55,3250,44,T,0,replays/1stRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay
86,Lambo,53,2600,41,Z,1,replays/1stRun\0af524f25d0e4b52bd627d174689901f.SC2Replay
87,Torkk,46,700,4,P,0,replays/1stRun\0af524f25d0e4b52bd627d174689901f.SC2Replay
88,Neeb,67,2150,6,P,1,replays/1stRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay
89,Reynor,63,4625,52,Z,0,replays/1stRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay
90,AdminA,52,875,5,P,1,replays/1stRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay
91,ObiWanPwnobi,48,3825,12,P,0,replays/1stRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay
92,Serral,80,8725,56,Z,1,replays/1stRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay
93,MaNa,79,5425,19,P,0,replays/1stRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay
94,Scarlett,68,3600,39,Z,0,replays/1stRun\0b1e09198950470dbaab56854929ac00.SC2Replay
95,Serral,68,3325,38,Z,1,replays/1stRun\0b1e09198950470dbaab56854929ac00.SC2Replay
96,Scarlett,24,650,12,Z,1,replays/1stRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay
97,DnS,28,250,2,P,0,replays/1stRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay
98,Cham,48,4725,67,Z,0,replays/1stRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay
99,PiLiPiLi,45,400,2,P,1,replays/1stRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay
100,Lambo,73,2725,36,Z,1,replays/1stRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay
101,Bones,55,2225,8,P,0,replays/1stRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay
102,DnS,70,5350,16,P,1,replays/1stRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay
103,Zanster,76,8325,129,Z,0,replays/1stRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay
104,Lambo,66,5675,50,Z,1,replays/1stRun\0b310b46c51b439da97779557703426e.SC2Replay
105,lllIIIIllll,61,1550,6,P,0,replays/1stRun\0b310b46c51b439da97779557703426e.SC2Replay
106,TYTY,42,1500,16,T,1,replays/1stRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay
107,Stats,48,650,5,P,0,replays/1stRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay
108,HeroMarine,81,7600,43,T,1,replays/1stRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay
109,Reynor,81,11700,138,Z,0,replays/1stRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay
110,Ziggy,23,500,5,T,1,replays/1stRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay
111,Allaryce,21,700,9,Z,0,replays/1stRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay
112,HuK,66,3825,13,P,1,replays/1stRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay
113,PiG,81,7375,77,Z,0,replays/1stRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay
114,TIME,26,1000,12,T,1,replays/1stRun\0ba886233be243c0be4c89073a24053e.SC2Replay
115,iGJim,36,750,4,P,0,replays/1stRun\0ba886233be243c0be4c89073a24053e.SC2Replay
116,Kelazhur,66,6200,82,T,1,replays/1stRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay
117,Nerchio,79,6650,80,Z,0,replays/1stRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay
118,Bails,35,1250,9,P,0,replays/1stRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay
119,viOLet,44,1275,21,Z,1,replays/1stRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay
120,Sen,74,9500,71,Z,1,replays/1stRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay
121,Rex,57,10300,85,Z,0,replays/1stRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay
122,GOStephano,48,2550,38,Z,1,replays/1stRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay
123,Clem,36,1200,18,T,0,replays/1stRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay
124,Bly,72,7675,56,Z,1,replays/1stRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay
125,DeMusliM,60,5675,29,T,0,replays/1stRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay
126,Elazer,53,5675,53,Z,1,replays/1stRun\0c28621f56e645069d007f4fec9eda07.SC2Replay
127,MacSed,60,1625,8,P,0,replays/1stRun\0c28621f56e645069d007f4fec9eda07.SC2Replay
128,Serral,26,850,8,Z,1,replays/1stRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay
129,Elazer,14,1350,32,Z,0,replays/1stRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay
130,Kozan,50,2600,34,T,0,replays/1stRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay
131,Stephano,56,4325,84,Z,1,replays/1stRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay
132,Nerchio,63,8750,68,Z,1,replays/1stRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay
133,HuK,63,3300,12,P,0,replays/1stRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay
134,Scarlett,59,3100,33,Z,0,replays/1stRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay
135,Serral,68,3525,31,Z,1,replays/1stRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay
136,Neeb,39,1475,7,P,0,replays/1stRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay
137,Semper,45,1700,20,T,1,replays/1stRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay
138,Warren,46,2450,36,Z,0,replays/1stRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay
139,FeaR,51,650,4,P,1,replays/1stRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay
140,SouLeer,60,4650,40,Z,0,replays/1stRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay
141,llllllllllll,56,1550,6,P,1,replays/1stRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay
142,Zest,65,5550,21,P,0,replays/1stRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay
143,Solar,67,10200,92,Z,1,replays/1stRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay
144,MaSa,20,200,2,T,1,replays/1stRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay
145,SirRobin,21,200,2,Z,0,replays/1stRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay
146,CMStormPolt,41,2250,31,T,1,replays/1stRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay
147,viOLet,54,4300,55,Z,0,replays/1stRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay
148,Ziggy,50,4050,62,T,0,replays/1stRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay
149,Zanster,68,6800,106,Z,1,replays/1stRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay
150,Hymy,75,3125,10,P,1,replays/1stRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay
151,ZergGirl,82,9075,89,Z,0,replays/1stRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay
152,puCK,56,1075,5,P,1,replays/1stRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay
153,MaSa,51,4875,46,T,0,replays/1stRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay
154,DnS,29,525,3,P,1,replays/1stRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay
155,Future,26,450,3,T,0,replays/1stRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay
156,uThermal,67,1650,9,T,1,replays/1stRun\0ccd5ece04df40909c045bf854251e62.SC2Replay
157,Nerchio,68,3250,30,Z,0,replays/1stRun\0ccd5ece04df40909c045bf854251e62.SC2Replay
158,Harstem,77,1625,7,P,1,replays/1stRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay
159,GOStephano,64,9075,150,Z,0,replays/1stRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay
160,liquidthermy,41,1650,14,T,1,replays/1stRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay
161,RlSky,52,2475,36,Z,0,replays/1stRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay
162,LiquidSnute,49,1900,27,Z,0,replays/1stRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay
163,FanTaSy,40,1500,15,T,1,replays/1stRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay
164,Bly,70,4500,45,Z,0,replays/1stRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay
165,SpeCial,67,4350,48,T,1,replays/1stRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay
166,TRUE,58,4925,72,Z,0,replays/1stRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay
167,PiLiPiLi,48,1650,8,P,1,replays/1stRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay
168,Kelazhur,60,3300,39,T,1,replays/1stRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay
169,Bistork,58,3200,16,P,0,replays/1stRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay
170,aLive,55,2450,29,T,1,replays/1stRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay
171,Stats,61,2375,10,P,0,replays/1stRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay
172,PtitDrogo,47,1925,9,P,1,replays/1stRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay
173,Creature,46,1775,9,P,0,replays/1stRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay
174,Solar,50,1625,21,Z,1,replays/1stRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay
175,Snute,37,1650,23,Z,0,replays/1stRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay
176,BAILS,43,1900,8,P,0,replays/1stRun\0d5fe948df28477baea2253d9240af64.SC2Replay
177,Harstem,43,1900,7,P,1,replays/1stRun\0d5fe948df28477baea2253d9240af64.SC2Replay
178,Neeb,35,425,2,P,0,replays/1stRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay
179,Semper,29,550,9,T,1,replays/1stRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay
180,Kelazhur,33,1850,15,T,1,replays/1stRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay
181,Optimus,29,1775,14,T,0,replays/1stRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay
182,iaguz,42,1175,12,T,0,replays/1stRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay
183,TooDming,53,3175,33,Z,1,replays/1stRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay
184,JJAKJI,28,750,5,T,1,replays/1stRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay
185,PtitDrogo,25,575,4,P,0,replays/1stRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay
186,RAIL,36,725,4,P,0,replays/1stRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay
187,INnoVation,32,500,9,T,1,replays/1stRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay
188,Solar,62,10600,93,Z,1,replays/1stRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay
189,LiquidSnute,55,10400,111,Z,0,replays/1stRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay
190,SpeCial,52,2700,16,T,1,replays/1stRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay
191,Pokebunny,46,2225,20,T,0,replays/1stRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay
192,ByuN,47,2450,30,T,1,replays/1stRun\0dffaad1493241d3a281cbd1085c3bb6.SC2Replay
193,Soulkey,52,2050,30,Z,0,replays/1stRun\0dffaad1493241d3a281cbd1085c3bb6.SC2Replay
194,HuT,44,1450,14,T,1,replays/1stRun\0e2338c624454da8b5e2c801f71ff31f.SC2Replay
195,JonSnow,48,2550,40,Z,0,replays/1stRun\0e2338c624454da8b5e2c801f71ff31f.SC2Replay
196,HeroMarine,71,5800,72,T,0,replays/1stRun\0e24123d059c4f6ab4c4455d2e6bfeb3.SC2Replay
197,OGZest,72,2225,9,P,1,replays/1stRun\0e24123d059c4f6ab4c4455d2e6bfeb3.SC2Replay
198,LiquidSnute,53,9125,82,Z,1,replays/1stRun\0e2710bb268c4bb885039ade0d9ee418.SC2Replay
199,Serral,52,6300,55,Z,0,replays/1stRun\0e2710bb268c4bb885039ade0d9ee418.SC2Replay
200,ShoWTimE,46,2675,12,P,0,replays/1stRun\0e30458f045c4b169de43b64457fb061.SC2Replay
201,HellraiseR,47,650,4,P,1,replays/1stRun\0e30458f045c4b169de43b64457fb061.SC2Replay
202,aLive,53,3350,39,T,0,replays/1stRun\0e36f4a6e32641d28fcd3d12e1b956d8.SC2Replay
203,Stats,61,900,5,P,1,replays/1stRun\0e36f4a6e32641d28fcd3d12e1b956d8.SC2Replay
204,Lighting,25,2075,12,P,0,replays/1stRun\0e5d574f4b87421e801df5b16871054f.SC2Replay
205,Kozan,37,2675,21,T,1,replays/1stRun\0e5d574f4b87421e801df5b16871054f.SC2Replay
